Date_Str,Close,Volume,Next_Close,Actual_Diff,Actual_Label
2017-01-04,19594.16015625,163500000,19520.689453125,-73.470703125,0
2017-01-05,19520.689453125,134500000,19454.330078125,-66.359375,0
2017-01-06,19454.330078125,119100000,19301.439453125,-152.890625,0
2017-01-10,19301.439453125,119100000,19364.669921875,63.23046875,1
2017-01-11,19364.669921875,119100000,19134.69921875,-229.970703125,0
2017-01-12,19134.69921875,119100000,19287.279296875,152.580078125,1
2017-01-13,19287.279296875,119100000,19095.240234375,-192.0390625,0
2017-01-16,19095.240234375,119100000,18813.529296875,-281.7109375,0
2017-01-17,18813.529296875,119100000,18894.369140625,80.83984375,1
2017-01-18,18894.369140625,119100000,19072.25,177.880859375,1
2017-01-19,19072.25,170600000,19137.91015625,65.66015625,1
2017-01-20,19137.91015625,125800000,18891.029296875,-246.880859375,0
2017-01-23,18891.029296875,124800000,18787.990234375,-103.0390625,0
2017-01-24,18787.990234375,131500000,19057.5,269.509765625,1
2017-01-25,19057.5,125400000,19402.390625,344.890625,1
2017-01-26,19402.390625,145200000,19467.400390625,65.009765625,1
2017-01-27,19467.400390625,134600000,19368.849609375,-98.55078125,0
2017-01-30,19368.849609375,97800000,19041.33984375,-327.509765625,0
2017-01-31,19041.33984375,133900000,19148.080078125,106.740234375,1
2017-02-01,19148.080078125,131500000,18914.580078125,-233.5,0
2017-02-02,18914.580078125,136500000,18918.19921875,3.619140625,1
2017-02-03,18918.19921875,140900000,18976.7109375,58.51171875,1
2017-02-06,18976.7109375,120500000,18910.779296875,-65.931640625,0
2017-02-07,18910.779296875,106100000,19007.599609375,96.8203125,1
2017-02-08,19007.599609375,102900000,18907.669921875,-99.9296875,0
2017-02-09,18907.669921875,130500000,19378.9296875,471.259765625,1
2017-02-10,19378.9296875,149400000,19459.150390625,80.220703125,1
2017-02-13,19459.150390625,117900000,19238.98046875,-220.169921875,0
2017-02-14,19238.98046875,142800000,19437.98046875,199.0,1
2017-02-15,19437.98046875,142800000,19347.529296875,-90.451171875,0
2017-02-16,19347.529296875,137800000,19234.619140625,-112.91015625,0
2017-02-17,19234.619140625,143600000,19251.080078125,16.4609375,1
2017-02-20,19251.080078125,98900000,19381.439453125,130.359375,1
2017-02-21,19381.439453125,100700000,19379.869140625,-1.5703125,0
2017-02-22,19379.869140625,156700000,19371.4609375,-8.408203125,0
2017-02-23,19371.4609375,140800000,19283.5390625,-87.921875,0
2017-02-24,19283.5390625,148900000,19107.470703125,-176.068359375,0
2017-02-27,19107.470703125,124200000,19118.990234375,11.51953125,1
2017-02-28,19118.990234375,132900000,19393.5390625,274.548828125,1
2017-03-01,19393.5390625,132300000,19564.80078125,171.26171875,1
2017-03-02,19564.80078125,146200000,19469.169921875,-95.630859375,0
2017-03-03,19469.169921875,111000000,19379.140625,-90.029296875,0
2017-03-06,19379.140625,88000000,19344.150390625,-34.990234375,0
2017-03-07,19344.150390625,98800000,19254.029296875,-90.12109375,0
2017-03-08,19254.029296875,103200000,19318.580078125,64.55078125,1
2017-03-09,19318.580078125,101100000,19604.609375,286.029296875,1
2017-03-10,19604.609375,155300000,19633.75,29.140625,1
2017-03-13,19633.75,92600000,19609.5,-24.25,0
2017-03-14,19609.5,123300000,19577.380859375,-32.119140625,0
2017-03-15,19577.380859375,115700000,19590.140625,12.759765625,1
2017-03-16,19590.140625,122500000,19521.58984375,-68.55078125,0
2017-03-17,19521.58984375,137100000,19455.880859375,-65.708984375,0
2017-03-21,19455.880859375,101700000,19041.380859375,-414.5,0
2017-03-22,19041.380859375,136600000,19085.310546875,43.9296875,1
2017-03-23,19085.310546875,121000000,19262.529296875,177.21875,1
2017-03-24,19262.529296875,127700000,18985.58984375,-276.939453125,0
2017-03-27,18985.58984375,120800000,19202.869140625,217.279296875,1
2017-03-28,19202.869140625,122300000,19217.48046875,14.611328125,1
2017-03-29,19217.48046875,115100000,19063.220703125,-154.259765625,0
2017-03-30,19063.220703125,124500000,18909.259765625,-153.9609375,0
2017-03-31,18909.259765625,149200000,18983.23046875,73.970703125,1
2017-04-03,18983.23046875,134200000,18810.25,-172.98046875,0
2017-04-04,18810.25,146900000,18861.26953125,51.01953125,1
2017-04-05,18861.26953125,121600000,18597.060546875,-264.208984375,0
2017-04-06,18597.060546875,133600000,18664.630859375,67.5703125,1
2017-04-07,18664.630859375,161600000,18797.880859375,133.25,1
2017-04-10,18797.880859375,111300000,18747.869140625,-50.01171875,0
2017-04-11,18747.869140625,105100000,18552.609375,-195.259765625,0
2017-04-12,18552.609375,116300000,18426.83984375,-125.76953125,0
2017-04-13,18426.83984375,123700000,18335.630859375,-91.208984375,0
2017-04-14,18335.630859375,0,18355.259765625,19.62890625,1
2017-04-17,18355.259765625,0,18418.58984375,63.330078125,1
2017-04-18,18418.58984375,93300000,18432.19921875,13.609375,1
2017-04-19,18432.19921875,120800000,18430.490234375,-1.708984375,0
2017-04-20,18430.490234375,116900000,18620.75,190.259765625,1
2017-04-21,18620.75,113200000,18875.880859375,255.130859375,1
2017-04-24,18875.880859375,98100000,19079.330078125,203.44921875,1
2017-04-25,19079.330078125,118000000,19289.4296875,210.099609375,1
2017-04-26,19289.4296875,129400000,19251.869140625,-37.560546875,0
2017-04-27,19251.869140625,116700000,19196.740234375,-55.12890625,0
2017-04-28,19196.740234375,117800000,19310.51953125,113.779296875,1
2017-05-01,19310.51953125,106500000,19445.69921875,135.1796875,1
2017-05-02,19445.69921875,112700000,19895.69921875,450.0,1
2017-05-08,19895.69921875,148700000,19843.0,-52.69921875,0
2017-05-09,19843.0,123500000,19900.08984375,57.08984375,1
2017-05-10,19900.08984375,129000000,19961.55078125,61.4609375,1
2017-05-11,19961.55078125,136400000,19883.900390625,-77.650390625,0
2017-05-12,19883.900390625,136800000,19869.849609375,-14.05078125,0
2017-05-15,19869.849609375,128300000,19919.8203125,49.970703125,1
2017-05-16,19919.8203125,131100000,19814.880859375,-104.939453125,0
2017-05-17,19814.880859375,118100000,19553.859375,-261.021484375,0
2017-05-18,19553.859375,135700000,19590.759765625,36.900390625,1
2017-05-19,19590.759765625,115600000,19678.279296875,87.51953125,1
2017-05-22,19678.279296875,78500000,19613.279296875,-65.0,0
2017-05-23,19613.279296875,83400000,19742.98046875,129.701171875,1
2017-05-24,19742.98046875,101300000,19813.130859375,70.150390625,1
2017-05-25,19813.130859375,95100000,19686.83984375,-126.291015625,0
2017-05-26,19686.83984375,84500000,19682.5703125,-4.26953125,0
2017-05-29,19682.5703125,67300000,19677.849609375,-4.720703125,0
2017-05-30,19677.849609375,72600000,19650.5703125,-27.279296875,0
2017-05-31,19650.5703125,125100000,19860.029296875,209.458984375,1
2017-06-01,19860.029296875,103500000,20177.279296875,317.25,1
2017-06-02,20177.279296875,150400000,20170.8203125,-6.458984375,0
2017-06-05,20170.8203125,99100000,19979.900390625,-190.919921875,0
2017-06-06,19979.900390625,102000000,19984.619140625,4.71875,1
2017-06-07,19984.619140625,99200000,19909.259765625,-75.359375,0
2017-06-08,19909.259765625,125300000,20013.259765625,104.0,1
2017-06-09,20013.259765625,145300000,19908.580078125,-104.6796875,0
2017-06-12,19908.580078125,112100000,19898.75,-9.830078125,0
2017-06-13,19898.75,97200000,19883.51953125,-15.23046875,0
2017-06-14,19883.51953125,92900000,19831.8203125,-51.69921875,0
2017-06-15,19831.8203125,107000000,19943.259765625,111.439453125,1
2017-06-16,19943.259765625,135300000,20067.75,124.490234375,1
2017-06-19,20067.75,79700000,20230.41015625,162.66015625,1
2017-06-20,20230.41015625,99300000,20138.7890625,-91.62109375,0
2017-06-21,20138.7890625,94900000,20110.509765625,-28.279296875,0
2017-06-22,20110.509765625,84600000,20132.669921875,22.16015625,1
2017-06-23,20132.669921875,80500000,20153.349609375,20.6796875,1
2017-06-26,20153.349609375,77000000,20225.08984375,71.740234375,1
2017-06-27,20225.08984375,90300000,20130.41015625,-94.6796875,0
2017-06-28,20130.41015625,115500000,20220.30078125,89.890625,1
2017-06-29,20220.30078125,118800000,20033.4296875,-186.87109375,0
2017-06-30,20033.4296875,116600000,20055.80078125,22.37109375,1
2017-07-03,20055.80078125,83400000,20032.349609375,-23.451171875,0
2017-07-04,20032.349609375,100300000,20081.630859375,49.28125,1
2017-07-05,20081.630859375,94600000,19994.060546875,-87.5703125,0
2017-07-06,19994.060546875,92700000,19929.08984375,-64.970703125,0
2017-07-07,19929.08984375,91900000,20080.98046875,151.890625,1
2017-07-10,20080.98046875,85700000,20195.48046875,114.5,1
2017-07-11,20195.48046875,77300000,20098.380859375,-97.099609375,0
2017-07-12,20098.380859375,81400000,20099.810546875,1.4296875,1
2017-07-13,20099.810546875,90500000,20118.859375,19.048828125,1
2017-07-14,20118.859375,83100000,19999.91015625,-118.94921875,0
2017-07-18,19999.91015625,93400000,20020.859375,20.94921875,1
2017-07-19,20020.859375,81200000,20144.58984375,123.73046875,1
2017-07-20,20144.58984375,80800000,20099.75,-44.83984375,0
2017-07-21,20099.75,78700000,19975.669921875,-124.080078125,0
2017-07-24,19975.669921875,81300000,19955.19921875,-20.470703125,0
2017-07-25,19955.19921875,70100000,20050.16015625,94.9609375,1
2017-07-26,20050.16015625,85500000,20079.640625,29.48046875,1
2017-07-27,20079.640625,89900000,19959.83984375,-119.80078125,0
2017-07-28,19959.83984375,108500000,19925.1796875,-34.66015625,0
2017-07-31,19925.1796875,140300000,19985.7890625,60.609375,1
2017-08-01,19985.7890625,110100000,20080.0390625,94.25,1
2017-08-02,20080.0390625,95600000,20029.259765625,-50.779296875,0
2017-08-03,20029.259765625,89300000,19952.330078125,-76.9296875,0
2017-08-04,19952.330078125,76500000,20055.890625,103.560546875,1
2017-08-07,20055.890625,75300000,19996.009765625,-59.880859375,0
2017-08-08,19996.009765625,80400000,19738.7109375,-257.298828125,0
2017-08-09,19738.7109375,104400000,19729.740234375,-8.970703125,0
2017-08-10,19729.740234375,104200000,19537.099609375,-192.640625,0
2017-08-14,19537.099609375,108300000,19753.310546875,216.2109375,1
2017-08-15,19753.310546875,90300000,19729.279296875,-24.03125,0
2017-08-16,19729.279296875,69400000,19702.630859375,-26.6484375,0
2017-08-17,19702.630859375,71900000,19470.41015625,-232.220703125,0
2017-08-18,19470.41015625,95700000,19393.130859375,-77.279296875,0
2017-08-21,19393.130859375,75300000,19383.83984375,-9.291015625,0
2017-08-22,19383.83984375,70500000,19434.640625,50.80078125,1
2017-08-23,19434.640625,78500000,19353.76953125,-80.87109375,0
2017-08-24,19353.76953125,75400000,19452.609375,98.83984375,1
2017-08-25,19452.609375,70700000,19449.900390625,-2.708984375,0
2017-08-28,19449.900390625,69500000,19362.55078125,-87.349609375,0
2017-08-29,19362.55078125,75000000,19506.5390625,143.98828125,1
2017-08-30,19506.5390625,91800000,19646.240234375,139.701171875,1
2017-08-31,19646.240234375,97900000,19691.470703125,45.23046875,1
2017-09-01,19691.470703125,79400000,19508.25,-183.220703125,0
2017-09-04,19508.25,71700000,19385.810546875,-122.439453125,0
2017-09-05,19385.810546875,77600000,19357.970703125,-27.83984375,0
2017-09-06,19357.970703125,88500000,19396.51953125,38.548828125,1
2017-09-07,19396.51953125,81900000,19274.8203125,-121.69921875,0
2017-09-08,19274.8203125,106600000,19545.76953125,270.94921875,1
2017-09-11,19545.76953125,78700000,19776.619140625,230.849609375,1
2017-09-12,19776.619140625,89900000,19865.8203125,89.201171875,1
